ENSG ID	Gene Symbol	CHR	pos.p0	wight.lasso.zscore	wight.lasso.pvalue	wight.lasso.pred_perf_r2	wight.lasso.bfr_thresh	wight.lasso.bfr_sig
ENSG00000022277	RTFDC1	20	55043647	5.417580022512221	6.04111139530847e-8	0.313552383488017	1.7041581458759374e-5	TRUE
ENSG00000073008	PVR	19	45147098	-9.293333288265668	1.495305059100516e-20	0.0964324950830284	1.7041581458759374e-5	TRUE
ENSG00000103811	CTSH	15	79213400	4.776483520543864	1.783871649175316e-6	0.298614918758439	1.7041581458759374e-5	TRUE
ENSG00000104853	CLPTM1	19	45457842	-7.751313437312644	9.094688956352074e-15	0.0237822769488597	1.7041581458759374e-5	TRUE
ENSG00000104884	ERCC2	19	45853095	6.185890715457479	6.175277938307086e-10	0.0161379897690469	1.7041581458759374e-5	TRUE
ENSG00000107679	PLEKHA1	10	124134212	4.427077405078391	9.551846261094204e-6	0.00644069145223647	1.7041581458759374e-5	TRUE
ENSG00000108091	CCDC6	10	61548521	5.559897555405446	2.6993304836330547e-8	0.147565901076003	1.7041581458759374e-5	TRUE
ENSG00000120915	EPHX2	8	27348296	5.664116213421729	1.4778422731584203e-8	0.39955562903574	1.7041581458759374e-5	TRUE
ENSG00000136717	BIN1	2	127805603	7.595881030886939	3.057052931012536e-14	0.0565796778256136	1.7041581458759374e-5	TRUE
ENSG00000137845	ADAM10	15	58887403	6.0203160739088135	1.7407680937402836e-9	0.0822085350246473	1.7041581458759374e-5	TRUE
ENSG00000149927	DOC2A	16	30016830	-4.858783501584353	1.1810919698821412e-6	0.143526741435226	1.7041581458759374e-5	TRUE
ENSG00000159640	ACE	17	61554422	-5.734980049904831	9.752382469696802e-9	0.111425316499587	1.7041581458759374e-5	TRUE
ENSG00000184227	ACOT1	14	74003818	-4.304853751004559	1.6709608612067714e-5	0.494647374322	1.7041581458759374e-5	TRUE
ENSG00000187244	BCAM	19	45312328	8.831845745900987	1.0296237431817406e-18	0.0141466952175685	1.7041581458759374e-5	TRUE
ENSG00000198087	CD2AP	6	47445525	7.545076493191254	4.5202210620982424e-14	0.0574851580125626	1.7041581458759374e-5	TRUE
ENSG00000234906	APOC2	19	45449243	13.948343276977539	3.2199841681765594e-44	0.00453800945234306	1.7041581458759374e-5	TRUE
