ENSG ID	Gene Symbol	CHR	pos.p0	wight.best.zscore	wight.best.pvalue	wight.best.pred_perf_r2	wight.best.bfr_thresh	wight.best.bfr_sig
ENSG00000022277	RTFDC1	20	55043647	5.428706169128418	5.676404758068786e-8	0.320063037947447	1.7041581458759374e-5	TRUE
ENSG00000073008	PVR	19	45147098	-10.025041138364648	1.1831032348042316e-23	0.0964324950830284	1.7041581458759374e-5	TRUE
ENSG00000103811	CTSH	15	79213400	4.748944788029564	2.044807521283332e-6	0.304086812603052	1.7041581458759374e-5	TRUE
ENSG00000104853	CLPTM1	19	45457842	-7.6121058464050275	2.6966556837551618e-14	0.0292519910567918	1.7041581458759374e-5	TRUE
ENSG00000104866	PPP1R37	19	45594654	7.275148071905196	3.4604067769873516e-13	0.00926445433240985	1.7041581458759374e-5	TRUE
ENSG00000104884	ERCC2	19	45853095	8.148468854453341	3.6856094409251946e-16	0.0299226725475152	1.7041581458759374e-5	TRUE
ENSG00000107679	PLEKHA1	10	124134212	4.480890232312161	7.433233608248271e-6	0.0657095256464829	1.7041581458759374e-5	TRUE
ENSG00000108091	CCDC6	10	61548521	5.157242221604323	2.50613517924973e-7	0.159223276249341	1.7041581458759374e-5	TRUE
ENSG00000120915	EPHX2	8	27348296	4.509411282983599	6.500777261169298e-6	0.430937130245031	1.7041581458759374e-5	TRUE
ENSG00000136717	BIN1	2	127805603	6.668373493375447	2.5865386373867936e-11	0.0582134693868754	1.7041581458759374e-5	TRUE
ENSG00000137845	ADAM10	15	58887403	6.122862743386433	9.190886481867906e-10	0.0844577055037853	1.7041581458759374e-5	TRUE
ENSG00000149927	DOC2A	16	30016830	-4.738436698913574	2.1537328457000137e-6	0.151340903016448	1.7041581458759374e-5	TRUE
ENSG00000159640	ACE	17	61554422	-5.736537108307697	9.663188550235715e-9	0.111425316499587	1.7041581458759374e-5	TRUE
ENSG00000184227	ACOT1	14	74003818	-4.5418831272886875	5.5753949255205485e-6	0.512868623899394	1.7041581458759374e-5	TRUE
ENSG00000187244	BCAM	19	45312328	7.899088347845778	2.8095069734172905e-15	0.0473894361587965	1.7041581458759374e-5	TRUE
ENSG00000198087	CD2AP	6	47445525	6.6545359759072165	2.8419523587101585e-11	0.0693462543174588	1.7041581458759374e-5	TRUE
